Proj_Date,BOM_Quant
2023-10-03,29.0
2023-10-18,24.0
2023-11-02,26.5
2023-11-17,26.5
2023-12-02,24.0
2023-12-17,25.666666666666668
2024-01-01,25.25
2024-01-16,125.0
2024-01-31,23.0
2024-02-15,74.0
2024-03-01,27.0
2024-03-16,1.0
2024-03-31,14.0
2024-04-15,1.0
2024-04-30,46.0
2024-05-15,52.0
2024-05-30,1.0
2024-06-14,15.0
2024-06-29,1.0
2024-07-14,5.666666666666667
2024-07-29,8.0
2024-08-13,284.0
2024-08-28,6.0
2024-09-12,117.0
2024-09-27,135.66666666666666
2024-10-12,260.0
2024-10-27,8.0
2024-11-11,537.0
2024-11-26,124.0
2024-12-11,65.0
2024-12-26,994.0
2025-01-10,394.3333333333333
2025-01-25,654.0
2025-02-09,368.28
2025-02-24,511.14
2025-03-11,482.0
2025-03-26,8.0
2025-04-10,569.0
