Proj_Date,BOM_Quant
2023-10-01,15.0
2023-10-08,240.0
2023-10-15,127.5
2023-10-22,127.5
2023-10-29,240.0
2023-11-05,165.0
2023-11-12,183.75
2023-11-19,40.0
2023-11-26,28.29
2023-12-03,34.144999999999996
2023-12-10,1.0
2023-12-17,14.645
2023-12-24,1.0
2023-12-31,1.0
2024-01-07,5.548333333333333
2024-01-14,1.0
2024-01-21,130.0
2024-01-28,130.0
2024-02-04,9.0
2024-02-11,69.5
2024-02-18,9.0
2024-02-25,9.0
2024-03-03,19.0
2024-03-10,19.0
2024-03-17,19.0
2024-03-24,39.0
2024-03-31,39.0
2024-04-07,73.0
2024-04-14,882.0
2024-04-21,477.5
2024-04-28,160.0
2024-05-05,521.0
2024-05-12,160.0
2024-05-19,166.0
2024-05-26,166.0
2024-06-02,166.0
2024-06-09,166.0
2024-06-16,166.0
2024-06-23,73.0
2024-06-30,21.0
2024-07-07,47.0
2024-07-14,36.0
2024-07-21,2.0
2024-07-28,218.0
2024-08-04,174.0
2024-08-11,131.33333333333334
2024-08-18,203.5
2024-08-25,214.5
2024-09-01,209.0
2024-09-08,209.0
2024-09-15,214.5
2024-09-22,210.83333333333334
2024-09-29,9.0
2024-10-06,9.0
2024-10-13,122.58
2024-10-20,10.0
2024-10-27,248.0
2024-11-03,2.0
2024-11-10,36.0
2024-11-17,6.0
2024-11-24,14.666666666666666
2024-12-01,274.55
2024-12-08,200.0
2024-12-15,31.0
2024-12-22,2.0
2024-12-29,77.66666666666667
2025-01-05,16.5
2025-01-12,2.0
2025-01-19,218.0
2025-01-26,218.0
2025-02-02,93.0
2025-02-09,622.8
2025-02-16,781.0
2025-02-23,498.93333333333334
2025-03-02,5.0
2025-03-09,393.0
2025-03-16,10.0
2025-03-23,10.0
2025-03-30,3.0
2025-04-06,6.0
2025-04-13,2.0
2025-04-20,4.0
