Proj_Date,BOM_Quant
2023-10-08,1.0
2023-10-15,24.0
2023-10-22,4.0
2023-10-29,24.0
2024-01-28,125.0
2024-02-04,23.0
2024-03-10,18.0
2024-03-17,9.0
2024-03-31,1.0
2024-05-05,25.0
2024-05-12,22.0
2024-05-19,52.0
2024-06-02,1.0
2024-06-23,15.0
2024-07-07,1.0
2024-08-11,72.0
2024-08-25,252.0
2024-09-01,32.0
2024-09-08,6.0
2024-09-15,55.0
2024-09-22,1.0
2024-09-29,79.0
2024-10-06,4.0
2024-10-20,230.0
2024-10-27,30.0
2024-11-10,8.0
2024-11-17,6.0
2024-11-24,531.0
2024-12-08,93.0
2024-12-15,45.0
2024-12-22,51.0
2025-01-05,12.0
2025-01-19,469.0
2025-02-02,218.0
2025-02-09,436.0
2025-02-16,18.28
2025-02-23,350.0
2025-03-16,2.0
2025-03-23,480.0
2025-03-30,3.0
2025-04-06,3.0
2025-04-13,271.0
2025-04-27,300.0
