Proj_Date,BOM_Quant
2023-09-06,27.64
2023-09-21,16.0
2023-10-06,17.0
2023-10-21,20.213333333333335
2023-11-05,16.5
2023-11-20,17.0
2023-12-05,17.904444444444447
2023-12-20,16.75
2024-01-04,17.0
2024-01-19,17.21814814814815
2024-02-03,16.875
2024-02-18,175.0
2024-03-04,175.0
2024-03-19,122.0
2024-04-03,148.5
2024-04-18,6.0
2024-05-03,18.0
2024-05-18,12.0
2024-06-02,32.0
2024-06-17,64.0
2024-07-02,210.0
2024-07-17,251.0
2024-08-01,4.0
2024-08-16,155.0
2024-08-31,127.5
2024-09-15,4.0
2024-09-30,1.0
2024-10-15,13.0
2024-10-30,7.0
2024-11-14,17.0
2024-11-29,15.0
2024-12-14,113.69
2024-12-29,60.0
2025-01-13,86.845
2025-01-28,105.5
2025-02-12,82.75
2025-02-27,122.0
2025-03-14,50.0
