Proj_Date,BOM_Quant
2023-10-09,6.0
2023-10-24,460.0
2023-11-08,233.0
2023-11-23,233.0
2023-12-08,460.0
2023-12-23,308.6666666666667
2024-01-07,346.5
2024-01-22,460.0
2024-02-06,6.0
2024-02-21,6.0
2024-03-07,6.0
2024-03-22,120.0
2024-04-06,120.0
2024-04-21,120.0
2024-05-06,43.0
2024-05-21,43.0
2024-06-05,43.0
2024-06-20,43.0
2024-07-05,43.0
2024-07-20,43.0
2024-08-04,4.0
2024-08-19,180.0
2024-09-03,5.0
2024-09-18,63.0
2024-10-03,92.5
2024-10-18,5.0
2024-11-02,53.5
2024-11-17,308.0
2024-12-02,10.0
2024-12-17,159.0
2025-01-01,60.0
2025-01-16,35.0
2025-01-31,60.0
2025-02-15,54.0
2025-03-02,14.0
