Proj_Date,BOM_Quant
2023-10-08,21.0
2023-10-15,8.0
2023-11-05,84.0
2024-01-21,6.0
2024-03-17,4.0
2024-04-07,900.0
2024-04-14,15.0
2024-05-12,859.0
2024-05-19,20.0
2024-05-26,22.0
2024-06-23,1.0
2024-07-28,122.0
2024-08-04,1.0
2024-09-15,1.0
2024-09-22,30.0
2024-10-20,4.0
2024-10-27,1013.0
2024-11-03,1137.0
2024-11-17,1606.0
2024-11-24,200.0
2024-12-08,287.0
2024-12-22,1.0
2025-01-05,14.0
2025-01-12,70.0
2025-02-16,31.0
2025-03-02,1000.0
2025-03-16,3.0
2025-03-23,1.0
2025-03-30,17.0
2025-04-13,1251.0
2025-04-20,155.0
2025-05-04,600.0
