Proj_Date,BOM_Quant
2023-09-10,21.0
2023-09-17,21.0
2023-09-24,21.0
2023-10-01,4.0
2023-10-08,1.0
2023-10-15,2.5
2023-10-22,9.0
2023-10-29,5.0
2023-11-05,10.0
2023-11-12,472.0
2023-11-19,395.0
2023-11-26,292.3333333333333
2023-12-03,433.5
2023-12-10,395.0
2023-12-17,373.6111111111111
2023-12-24,4.0
2023-12-31,4.0
2024-01-07,12.0
2024-01-14,8.0
2024-01-21,12.0
2024-01-28,5.0
2024-02-04,214.0
2024-02-11,1.0
2024-02-18,73.33333333333333
2024-02-25,107.5
2024-03-03,1.0
2024-03-10,60.61111111111111
2024-03-17,54.25
2024-03-24,2.0
2024-03-31,2.0
2024-04-07,100.0
2024-04-14,701.0
2024-04-21,400.5
2024-04-28,5.0
2024-05-05,353.0
2024-05-12,17.0
2024-05-19,11.0
2024-05-26,1.0
2024-06-02,9.666666666666666
2024-06-09,6.0
2024-06-16,1.0
2024-06-23,5.5555555555555545
2024-06-30,1.0
2024-07-07,1.0
2024-07-14,1.0
2024-07-21,1.0
2024-07-28,2.0
2024-08-04,27.0
2024-08-11,10.0
2024-08-18,13.0
2024-08-25,175.0
2024-09-01,92.5
2024-09-08,111.0
2024-09-15,143.0
2024-09-22,111.0
2024-09-29,1.0
2024-10-06,1.0
2024-10-13,6.0
2024-10-20,3.5
2024-10-27,1.0
2024-11-03,1.0
2024-11-10,1.0
2024-11-17,30.0
2024-11-24,960.0
2024-12-01,495.0
2024-12-08,495.0
2024-12-15,960.0
2024-12-22,650.0
2024-12-29,727.5
2025-01-05,960.0
2025-01-12,300.0
2025-01-19,300.0
2025-01-26,14.0
2025-02-02,157.0
2025-02-09,123.0
2025-02-16,55.0
2025-02-23,89.0
2025-03-02,89.0
2025-03-09,160.0
2025-03-16,100.0
2025-03-23,130.0
2025-03-30,35.0
2025-04-06,67.5
2025-04-13,742.0
2025-04-20,388.5
2025-04-27,23.0
