Proj_Date,BOM_Quant
2023-09-25,255.0
2023-10-10,0.0
2023-10-25,0.0
2023-11-09,40.0
2023-11-24,29.29
2023-12-09,0.0
2023-12-24,0.0
2024-01-08,130.0
2024-01-23,9.0
2024-02-07,9510.0
2024-02-22,19.0
2024-03-08,39.0
2024-03-23,73.0
2024-04-07,3882.0
2024-04-22,160.0
2024-05-07,4146.0
2024-05-22,0.0
2024-06-06,73.0
2024-06-21,1581.0
2024-07-06,38.0
2024-07-21,392.0
2024-08-05,3303.0
2024-08-20,212.0
2024-09-04,189279.0
2024-09-19,134.0
2024-10-04,132.57999999999998
2024-10-19,250.0
2024-11-03,42.0
2024-11-18,20334.55
2024-12-03,233.0
2024-12-18,0.0
2025-01-02,3243.4
2025-01-17,29300.0
2025-02-01,1403.8
2025-02-16,5.0
2025-03-03,10.0
2025-03-18,19.0
2025-04-02,6.0
2025-04-17,43000.0
