Proj_Date,BOM_Quant
2023-11-06,1.0
2023-11-21,0.0
2023-12-06,0.0
2023-12-21,72.0
2024-01-05,0.0
2024-01-20,184.79999999999998
2024-02-04,20097.6
2024-02-19,323.0
2024-03-05,133.0
2024-03-20,661.0
2024-04-04,8800.0
2024-04-19,1195.0
2024-05-04,1862.0
2024-05-19,490.0
2024-06-03,0.0
2024-06-18,2.0
2024-07-03,2363.334
2024-07-18,4726.0
2024-08-02,579.62
2024-08-17,3978.0
2024-09-01,1072.0
2024-09-16,29749.42
2024-10-01,142.0
2024-10-16,7964.7300000000005
2024-10-31,241106.83000000002
2024-11-15,2753.96
2024-11-30,1845.0
2024-12-15,1884.0
2024-12-30,2095.43
2025-01-14,2534.2
2025-01-29,4632.0
2025-02-13,5793.8
2025-02-28,4363.0
2025-03-15,53.0
2025-03-30,1380.8
2025-04-14,1673.0
2025-04-29,9.0
