Proj_Date,BOM_Quant
2023-10-03,29.0
2023-10-18,24.0
2023-11-02,0.0
2023-11-17,0.0
2023-12-02,0.0
2023-12-17,0.0
2024-01-01,0.0
2024-01-16,125.0
2024-01-31,23.0
2024-02-15,2015.1
2024-03-01,27.0
2024-03-16,1.0
2024-03-31,0.0
2024-04-15,1.0
2024-04-30,46.0
2024-05-15,52.0
2024-05-30,1.0
2024-06-14,15.0
2024-06-29,1.0
2024-07-14,1692.0
2024-07-29,2622.0
2024-08-13,284.0
2024-08-28,6.0
2024-09-12,117.0
2024-09-27,5123.0
2024-10-12,260.0
2024-10-27,8.0
2024-11-11,537.0
2024-11-26,124.0
2024-12-11,65.0
2024-12-26,994.0
2025-01-10,1633.0
2025-01-25,654.0
2025-02-09,368.28
2025-02-24,0.0
2025-03-11,482.0
2025-03-26,8.0
2025-04-10,569.0
2025-04-25,1483.0
