Proj_Date,BOM_Quant
2023-09-25,15.0
2023-10-06,240.0
2023-11-15,40.0
2023-11-25,28.29
2023-12-06,1.0
2024-01-16,130.0
2024-01-31,9.0
2024-02-16,9510.0
2024-02-28,18.0
2024-02-29,1.0
2024-03-20,39.0
2024-04-05,73.0
2024-04-09,882.0
2024-04-18,3000.0
2024-04-26,160.0
2024-05-15,16.0
2024-05-17,150.0
2024-05-21,3980.0
2024-06-19,73.0
2024-06-24,14.0
2024-06-25,6.0
2024-06-27,1.0
2024-07-02,1500.0
2024-07-04,60.0
2024-07-11,6.0
2024-07-12,30.0
2024-07-16,2.0
2024-07-22,110.0
2024-07-24,54.0
2024-07-25,54.0
2024-07-30,120.0
2024-08-01,12.0
2024-08-02,42.0
2024-08-05,10.0
2024-08-06,1037.0
2024-08-09,2050.0
2024-08-13,200.0
2024-08-15,1.0
2024-08-16,2.5
2024-08-19,2.5
2024-08-21,200.0
2024-08-22,12.0
2024-09-10,24.0
2024-09-12,81000.0
2024-09-16,105700.0
2024-09-17,2555.0
2024-09-19,125.0
2024-09-25,5.0
2024-09-26,4.0
2024-10-09,25.0
2024-10-10,10.0
2024-10-11,87.58
2024-10-14,10.0
2024-10-21,138.0
2024-10-23,110.0
2024-10-31,2.0
2024-11-06,18.0
2024-11-07,18.0
2024-11-14,6.0
2024-11-18,9.0
2024-11-21,1.0
2024-11-22,20050.0
2024-11-26,257.55
2024-11-27,2.0
2024-11-28,15.0
2024-12-05,200.0
2024-12-09,6.0
2024-12-10,2.0
2024-12-11,5.0
2024-12-12,18.0
2024-12-17,2.0
2025-01-06,3001.0
2025-01-07,2.0
2025-01-08,4.0
2025-01-09,17.4
2025-01-10,1.0
2025-01-13,146.0
2025-01-16,72.0
2025-01-20,29202.0
2025-01-21,2.0
2025-01-24,3.0
2025-01-28,71.0
2025-01-29,4.0
2025-01-30,18.0
2025-02-03,577.8
2025-02-05,9.0
2025-02-06,36.0
2025-02-10,1.0
2025-02-13,200.0
2025-02-14,580.0
2025-02-28,5.0
2025-03-12,10.0
2025-03-18,10.0
2025-03-25,3.0
2025-04-01,6.0
2025-04-08,2.0
2025-04-15,4.0
2025-04-29,43000.0
