Proj_Date,BOM_Quant
2023-11-06,1.0
2024-01-03,72.0
2024-01-23,21.6
2024-01-29,142.0
2024-02-02,21.2
2024-02-05,21.6
2024-02-15,6.0
2024-02-16,20070.0
2024-02-20,1.0
2024-02-29,200.0
2024-03-04,122.0
2024-03-12,127.0
2024-03-18,6.0
2024-03-20,4.0
2024-03-25,231.0
2024-03-26,417.0
2024-03-27,1.0
2024-03-28,8.0
2024-04-05,204.0
2024-04-08,206.0
2024-04-11,1.0
2024-04-12,6.0
2024-04-16,8383.0
2024-04-24,672.0
2024-04-25,472.0
2024-04-26,50.0
2024-05-03,1.0
2024-05-09,92.0
2024-05-10,90.0
2024-05-13,939.0
2024-05-14,657.0
2024-05-17,84.0
2024-05-20,168.0
2024-05-22,322.0
2024-06-19,2.0
2024-07-04,180.0
2024-07-08,318.0
2024-07-09,10.0
2024-07-10,12.0
2024-07-11,326.0
2024-07-12,51.167
2024-07-15,1414.167
2024-07-16,26.0
2024-07-17,26.0
2024-07-18,6.0
2024-07-19,3145.0
2024-07-23,810.0
2024-07-29,1.0
2024-07-31,760.0
2024-08-01,4.0
2024-08-02,1.0
2024-08-05,1.0
2024-08-08,98.38
2024-08-09,4.0
2024-08-12,4.0
2024-08-14,32.0
2024-08-15,309.14
2024-08-16,130.1
2024-08-19,91.0
2024-08-20,387.0
2024-08-22,5.0
2024-08-23,21.0
2024-08-26,2.0
2024-08-27,30.0
2024-08-28,2.0
2024-08-29,40.0
2024-08-30,3400.0
2024-09-03,497.0
2024-09-05,39.0
2024-09-06,4.0
2024-09-09,410.0
2024-09-10,110.0
2024-09-11,4.0
2024-09-13,8.0
2024-09-16,22.0
2024-09-17,207.0
2024-09-18,16.0
2024-09-19,839.0
2024-09-20,25399.0
2024-09-23,927.0
2024-09-24,244.0
2024-09-25,785.0
2024-09-26,983.0
2024-09-30,327.42
2024-10-01,18.0
2024-10-02,16.0
2024-10-11,53.0
2024-10-14,55.0
2024-10-17,12.0
2024-10-21,125.0
2024-10-23,12.0
2024-10-24,1093.0
2024-10-28,262.0
2024-10-29,682.6800000000001
2024-10-30,5778.05
2024-10-31,3.0
2024-11-01,96.0
2024-11-04,15.64
2024-11-05,1301.0
2024-11-06,233.12
2024-11-11,22.0
2024-11-12,239200.07
2024-11-14,236.0
2024-11-18,476.96000000000004
2024-11-21,519.0
2024-11-22,1505.0
2024-11-25,15.0
2024-11-26,40.0
2024-11-27,83.0
2024-11-28,29.0
2024-11-29,86.0
2024-12-02,539.0
2024-12-03,1.0
2024-12-04,32.0
2024-12-05,194.0
2024-12-11,22.0
2024-12-12,212.0
2024-12-13,845.0
2024-12-16,8.0
2024-12-17,391.0
2024-12-18,565.0
2024-12-19,433.0
2024-12-20,137.0
2024-12-23,242.0
2024-12-26,108.0
2024-12-30,71.0
2025-01-02,727.68
2025-01-03,46.0
2025-01-06,233.0
2025-01-07,447.75
2025-01-08,165.0
2025-01-09,77.0
2025-01-10,55.0
2025-01-13,273.0
2025-01-14,64.0
2025-01-15,24.0
2025-01-16,234.0
2025-01-21,82.6
2025-01-22,84.0
2025-01-24,395.6
2025-01-27,433.0
2025-01-28,1217.0
2025-01-29,379.0
2025-01-30,158.0
2025-01-31,106.0
2025-02-03,226.0
2025-02-04,915.0
2025-02-05,2076.0
2025-02-06,37.0
2025-02-10,50.0
2025-02-11,10.0
2025-02-12,675.0
2025-02-13,20.0
2025-02-14,105.0
2025-02-17,6.0
2025-02-18,1732.0
2025-02-19,3305.8
2025-02-20,513.0
2025-02-21,1.0
2025-02-24,110.0
2025-02-27,1.0
2025-03-07,3460.0
2025-03-12,778.0
2025-03-13,125.0
2025-03-18,1.0
2025-03-25,49.0
2025-03-26,3.0
2025-04-01,58.8
2025-04-03,104.0
2025-04-04,1.0
2025-04-09,1112.0
2025-04-10,105.0
2025-04-14,4.0
2025-04-15,20.0
2025-04-16,1620.0
2025-04-23,15.0
2025-04-24,6.0
2025-04-25,8.0
2025-04-29,8.0
2025-05-02,1.0
