Proj_Date,BOM_Quant
2023-10-01,15.0
2023-10-08,240.0
2023-10-15,0.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,40.0
2023-11-26,28.29
2023-12-03,0.0
2023-12-10,1.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,130.0
2024-01-28,0.0
2024-02-04,9.0
2024-02-11,0.0
2024-02-18,9510.0
2024-02-25,0.0
2024-03-03,19.0
2024-03-10,0.0
2024-03-17,0.0
2024-03-24,39.0
2024-03-31,0.0
2024-04-07,73.0
2024-04-14,882.0
2024-04-21,3000.0
2024-04-28,160.0
2024-05-05,0.0
2024-05-12,0.0
2024-05-19,166.0
2024-05-26,3980.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,73.0
2024-06-30,21.0
2024-07-07,1560.0
2024-07-14,36.0
2024-07-21,2.0
2024-07-28,218.0
2024-08-04,174.0
2024-08-11,3097.0
2024-08-18,203.5
2024-08-25,214.5
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,81024.0
2024-09-22,108380.0
2024-09-29,9.0
2024-10-06,0.0
2024-10-13,122.58
2024-10-20,10.0
2024-10-27,248.0
2024-11-03,2.0
2024-11-10,36.0
2024-11-17,6.0
2024-11-24,20060.0
2024-12-01,274.55
2024-12-08,200.0
2024-12-15,31.0
2024-12-22,2.0
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,3025.4
2025-01-19,218.0
2025-01-26,29207.0
2025-02-02,93.0
2025-02-09,622.8
2025-02-16,781.0
2025-02-23,0.0
2025-03-02,5.0
2025-03-09,0.0
2025-03-16,10.0
2025-03-23,10.0
2025-03-30,3.0
2025-04-06,6.0
2025-04-13,2.0
2025-04-20,4.0
2025-04-27,0.0
2025-05-04,43000.0
