Proj_Date,BOM_Quant
2023-11-12,1.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,72.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,21.6
2024-02-04,163.2
2024-02-11,21.6
2024-02-18,20076.0
2024-02-25,1.0
2024-03-03,200.0
2024-03-10,122.0
2024-03-17,127.0
2024-03-24,10.0
2024-03-31,657.0
2024-04-07,204.0
2024-04-14,213.0
2024-04-21,8383.0
2024-04-28,1194.0
2024-05-05,1.0
2024-05-12,182.0
2024-05-19,1680.0
2024-05-26,490.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,0.0
2024-06-23,2.0
2024-06-30,0.0
2024-07-07,180.0
2024-07-14,717.167
2024-07-21,4617.1669999999995
2024-07-28,810.0
2024-08-04,766.0
2024-08-11,103.38
2024-08-18,475.24
2024-08-25,504.0
2024-09-01,3474.0
2024-09-08,540.0
2024-09-15,532.0
2024-09-22,26483.0
2024-09-29,2939.0
2024-10-06,361.42
2024-10-13,53.0
2024-10-20,67.0
2024-10-27,1230.0
2024-11-03,6821.7300000000005
2024-11-10,1549.7600000000002
2024-11-17,239458.07
2024-11-24,2500.96
2024-12-01,253.0
2024-12-08,766.0
2024-12-15,1079.0
2024-12-22,1534.0
2024-12-29,350.0
2025-01-05,844.68
2025-01-12,977.75
2025-01-19,595.0
2025-01-26,562.2
2025-02-02,2293.0
2025-02-09,3254.0
2025-02-16,860.0
2025-02-23,5557.8
2025-03-02,111.0
2025-03-09,3460.0
2025-03-16,903.0
2025-03-23,1.0
2025-03-30,52.0
2025-04-06,163.8
2025-04-13,1217.0
2025-04-20,1644.0
2025-04-27,29.0
2025-05-04,9.0
