Proj_Date,BOM_Quant
2023-10-09,6.0
2023-10-24,460.0
2023-11-08,0.0
2023-11-23,0.0
2023-12-08,0.0
2023-12-23,0.0
2024-01-07,0.0
2024-01-22,0.0
2024-02-06,6.0
2024-02-21,0.0
2024-03-07,0.0
2024-03-22,120.0
2024-04-06,0.0
2024-04-21,0.0
2024-05-06,43.0
2024-05-21,0.0
2024-06-05,0.0
2024-06-20,0.0
2024-07-05,0.0
2024-07-20,0.0
2024-08-04,4.0
2024-08-19,180.0
2024-09-03,5.0
2024-09-18,0.0
2024-10-03,0.0
2024-10-18,908.0
2024-11-02,0.0
2024-11-17,308.0
2024-12-02,10.0
2024-12-17,0.0
2025-01-01,60.0
2025-01-16,0.0
2025-01-31,0.0
2025-02-15,54.0
2025-03-02,14.0
2025-03-17,0.0
2025-04-01,1201.5
