Proj_Date,BOM_Quant
2023-09-06,20.64
2023-09-19,7.0
2023-09-26,16.0
2023-10-10,7.0
2023-10-11,10.0
2024-02-09,1022.04
2024-02-28,175.0
2024-03-21,2.0
2024-03-27,120.0
2024-04-24,6.0
2024-05-10,12.0
2024-05-16,6.0
2024-05-20,3478.2799999999997
2024-05-22,1058.0
2024-06-10,32.0
2024-06-21,64.0
2024-07-08,210.0
2024-07-17,4.0
2024-07-22,47.0
2024-07-31,200.0
2024-08-09,4.0
2024-10-10,1.0
2024-10-18,1.0
2024-10-28,12.0
2024-11-14,17.0
2024-11-29,350.0
2024-12-03,20.0
2024-12-04,40.0
2024-12-11,2001.0
2024-12-19,39.0
2024-12-20,74.69
2025-01-10,60.0
2025-01-28,105.5
2025-02-14,16808.0
2025-02-19,7.0
2025-03-03,2.0
2025-03-05,120.0
2025-03-21,50.0
2025-03-30,1009.0
2025-03-31,250.0
2025-04-07,200.0
2025-04-09,1300.0
