Proj_Date,BOM_Quant
2023-10-02,1.0
2023-10-03,16.0
2023-10-04,3.0
2023-10-05,1.0
2023-10-09,8.0
2023-11-01,84.0
2024-01-16,6.0
2024-03-12,4.0
2024-04-03,900.0
2024-04-12,15.0
2024-04-17,2800.0
2024-05-10,859.0
2024-05-13,20.0
2024-05-20,6.0
2024-05-21,16.0
2024-06-20,1.0
2024-07-23,122.0
2024-07-29,1.0
2024-09-10,1.0
2024-09-20,30.0
2024-10-17,3.0
2024-10-18,1.0
2024-10-24,928.0
2024-10-25,85.0
2024-10-30,1.0
2024-11-01,1136.0
2024-11-14,1606.0
2024-11-19,200.0
2024-12-03,266.0
2024-12-04,21.0
2024-12-19,1.0
2024-12-30,14.0
2025-01-08,70.0
2025-02-11,31.0
2025-02-26,1000.0
2025-03-05,14000.0
2025-03-07,3.0
2025-03-10,3.0
2025-03-21,1.0
2025-03-24,1.0
2025-03-30,16.0
2025-04-07,1250.0
2025-04-09,1.0
2025-04-16,155.0
2025-04-29,600.0
