Proj_Date,BOM_Quant
2023-09-10,20.64
2023-09-17,0.0
2023-09-24,7.0
2023-10-01,16.0
2023-10-08,0.0
2023-10-15,17.0
2023-10-22,0.0
2023-10-29,0.0
2023-11-05,0.0
2023-11-12,0.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,0.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,0.0
2024-02-04,0.0
2024-02-11,1022.04
2024-02-18,0.0
2024-02-25,0.0
2024-03-03,175.0
2024-03-10,0.0
2024-03-17,0.0
2024-03-24,2.0
2024-03-31,120.0
2024-04-07,0.0
2024-04-14,0.0
2024-04-21,0.0
2024-04-28,6.0
2024-05-05,0.0
2024-05-12,12.0
2024-05-19,6.0
2024-05-26,4536.28
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,32.0
2024-06-23,64.0
2024-06-30,0.0
2024-07-07,0.0
2024-07-14,210.0
2024-07-21,4.0
2024-07-28,47.0
2024-08-04,200.0
2024-08-11,4.0
2024-08-18,0.0
2024-08-25,0.0
2024-09-01,0.0
2024-09-08,0.0
2024-09-15,0.0
2024-09-22,0.0
2024-09-29,0.0
2024-10-06,0.0
2024-10-13,1.0
2024-10-20,1.0
2024-10-27,0.0
2024-11-03,12.0
2024-11-10,0.0
2024-11-17,17.0
2024-11-24,0.0
2024-12-01,350.0
2024-12-08,60.0
2024-12-15,2001.0
2024-12-22,113.69
2024-12-29,0.0
2025-01-05,0.0
2025-01-12,60.0
2025-01-19,0.0
2025-01-26,0.0
2025-02-02,105.5
2025-02-09,0.0
2025-02-16,16808.0
2025-02-23,7.0
2025-03-02,0.0
2025-03-09,122.0
2025-03-16,0.0
2025-03-23,50.0
2025-03-30,1009.0
2025-04-06,250.0
2025-04-13,1500.0
