Proj_Date,BOM_Quant
2023-09-05,937.0
2023-09-20,14.0
2023-10-05,22.0
2023-10-20,30330.0
2023-11-04,8850.0
2023-11-19,1.0
2023-12-04,0.0
2023-12-19,0.0
2024-01-03,0.0
2024-01-18,1002.0
2024-02-02,88.0
2024-02-17,91.0
2024-03-03,1800.0
2024-03-18,983.0
2024-04-02,157.5
2024-04-17,19497.92
2024-05-02,849.0
2024-05-17,4.0
2024-06-01,25.0
2024-06-16,52.0
2024-07-01,40084.0
2024-07-16,2429.0
2024-07-31,200.0
2024-08-15,209.5
2024-08-30,24.189999999999998
2024-09-14,55.0
2024-09-29,63.0
2024-10-14,600.0
2024-10-29,45.0
2024-11-13,1.0
2024-11-28,40.0
2024-12-13,5.0
2024-12-28,62.0
2025-01-12,72.0
2025-01-27,1459.0
2025-02-11,650.0
2025-02-26,371.6
2025-03-13,8.0
2025-03-28,3.0
2025-04-12,351.25
2025-04-27,8246.0
