Proj_Date,BOM_Quant
2023-09-06,21.0
2023-09-21,5.0
2023-10-06,2009.0
2023-10-21,4082.0
2023-11-05,867.0
2023-11-20,0.0
2023-12-05,0.0
2023-12-20,16.0
2024-01-04,60691.0
2024-01-19,219.0
2024-02-03,1.0
2024-02-18,0.0
2024-03-04,3273.0
2024-03-19,2.0
2024-04-03,801.0
2024-04-18,5.0
2024-05-03,28.0
2024-05-18,1.0
2024-06-02,0.0
2024-06-17,1.0
2024-07-02,5744.0
2024-07-17,17.0
2024-08-01,22.0
2024-08-16,3213.0
2024-08-31,111.0
2024-09-15,4249.0
2024-09-30,6.0
2024-10-15,2.0
2024-10-30,30.0
2024-11-14,960.0
2024-11-29,0.0
2024-12-14,0.0
2024-12-29,300.0
2025-01-13,14.0
2025-01-28,4634.0
2025-02-12,50.0
2025-02-27,260.0
2025-03-14,35.0
2025-03-29,742.0
2025-04-13,23.0
2025-04-28,3360.0
