Proj_Date,BOM_Quant
2023-09-05,136.0
2023-09-06,800.0
2023-09-19,1.0
2023-09-26,1.0
2023-09-27,13.0
2023-10-16,2.0
2023-10-18,20.0
2023-10-20,30095.0
2023-10-25,130.0
2023-10-26,105.0
2023-11-06,54.0
2023-11-08,8796.0
2023-12-03,1.0
2024-01-24,1002.0
2024-02-15,88.0
2024-02-28,1.0
2024-02-29,29.0
2024-03-01,61.0
2024-03-07,1600.0
2024-03-13,200.0
2024-03-20,3.0
2024-03-28,980.0
2024-04-12,157.5
2024-04-19,18000.0
2024-04-22,107.5
2024-04-23,19.42
2024-04-24,1.0
2024-04-26,370.0
2024-04-30,1000.0
2024-05-14,12.0
2024-05-16,837.0
2024-05-20,4.0
2024-06-11,25.0
2024-06-19,50.0
2024-06-26,2.0
2024-07-01,40000.0
2024-07-05,77.0
2024-07-08,7.0
2024-07-17,2120.0
2024-07-23,124.0
2024-07-24,125.0
2024-07-26,60.0
2024-08-08,30.0
2024-08-12,94.0
2024-08-14,76.0
2024-08-21,8.5
2024-08-26,1.0
2024-08-28,200.0
2024-09-04,8.0
2024-09-09,3.19
2024-09-11,1.0
2024-09-13,12.0
2024-09-18,12.0
2024-09-19,1.0
2024-09-23,42.0
2024-10-09,63.0
2024-10-23,600.0
2024-11-06,45.0
2024-11-14,1.0
2024-12-06,20.0
2024-12-09,20.0
2024-12-16,1.0
2024-12-17,4.0
2025-01-03,62.0
2025-01-15,20.0
2025-01-17,50.0
2025-01-23,2.0
2025-01-27,40.0
2025-02-03,662.0
2025-02-05,1.0
2025-02-06,662.0
2025-02-07,75.0
2025-02-10,19.0
2025-02-21,500.0
2025-02-25,150.0
2025-02-27,300.0
2025-03-07,50.0
2025-03-12,21.6
2025-03-27,8.0
2025-04-03,1.0
2025-04-09,2.0
2025-04-14,350.25
2025-04-22,1.0
2025-04-30,246.0
2025-05-02,8000.0
