Proj_Date,BOM_Quant
2023-09-27,12.0
2023-10-16,110.0
2023-10-17,38.0
2023-10-18,12.0
2023-10-20,194.0
2023-10-24,9.0
2023-10-25,29.0
2023-10-30,30.0
2023-11-09,89.0
2023-11-28,6.0
2023-12-03,2.0
2024-01-23,4.0
2024-02-20,1602.0
2024-02-29,18.0
2024-03-12,200.0
2024-03-13,1.0
2024-03-20,2.0
2024-03-26,10.0
2024-03-28,128.0
2024-04-01,2.0
2024-04-03,50.0
2024-04-05,204.0
2024-04-25,2.0
2024-05-07,12.0
2024-05-10,15.0
2024-05-14,34.0
2024-05-21,400.0
2024-05-22,10.0
2024-05-29,1200.0
2024-06-20,395.0
2024-06-25,2.0
2024-07-02,60.0
2024-07-09,65.0
2024-07-15,206.0
2024-07-17,6.0
2024-07-24,19200.0
2024-07-30,49.85
2024-08-08,41.0
2024-08-09,48.0
2024-08-12,917.0
2024-08-13,1.0
2024-08-22,183.0
2024-08-27,124.0
2024-08-28,4.0
2024-08-29,1.0
2024-09-02,1.0
2024-09-03,450.0
2024-09-06,4.0
2024-09-09,4.0
2024-09-10,36.0
2024-09-12,2.0
2024-09-13,14.0
2024-09-18,6.0
2024-09-19,76.0
2024-09-23,100.0
2024-09-25,50.0
2024-09-30,4005.0
2024-10-09,36.0
2024-10-11,120.0
2024-10-21,12.0
2024-10-31,12.0
2024-11-04,83.0
2024-11-13,15.49
2024-11-18,313.0
2024-11-29,100.0
2024-12-06,86.0
2024-12-13,640.0
2024-12-17,28.0
2024-12-18,324.0
2025-01-13,4.0
2025-01-15,622.0
2025-01-21,1.0
2025-01-22,81.6
2025-01-30,16.0
2025-02-04,1000.0
2025-02-12,60.0
2025-02-17,6.0
2025-02-18,64.0
2025-02-21,3.0
2025-02-25,20.0
2025-02-27,150.0
2025-03-07,13.0
2025-03-19,5.0
2025-03-24,2.0
2025-03-26,149.0
2025-04-02,245.0
2025-04-11,79.0
2025-04-16,152.0
2025-04-25,2.0
