Proj_Date,BOM_Quant
2023-09-06,21.0
2023-09-27,4.0
2023-10-03,1.0
2023-10-10,2000.0
2023-10-20,9.0
2023-10-25,72.0
2023-10-27,4000.0
2023-10-30,10.0
2023-11-06,12.0
2023-11-07,18.0
2023-11-08,255.0
2023-11-09,187.0
2023-11-14,88.0
2023-11-16,307.0
2023-12-20,4.0
2024-01-03,12.0
2024-01-08,60691.0
2024-01-22,1.0
2024-01-24,4.0
2024-01-29,150.0
2024-01-30,62.0
2024-01-31,2.0
2024-02-05,1.0
2024-03-12,3273.0
2024-03-20,2.0
2024-04-05,100.0
2024-04-08,700.0
2024-04-10,1.0
2024-04-23,3.0
2024-04-24,1.0
2024-04-26,1.0
2024-05-06,2.0
2024-05-07,14.0
2024-05-09,1.0
2024-05-15,8.0
2024-05-16,3.0
2024-05-22,1.0
2024-06-28,1.0
2024-07-08,5744.0
2024-07-24,2.0
2024-07-30,1.0
2024-07-31,14.0
2024-08-01,10.0
2024-08-02,2.0
2024-08-09,10.0
2024-08-20,138.0
2024-08-21,20.0
2024-08-22,2.0
2024-08-23,15.0
2024-08-26,2698.0
2024-08-29,340.0
2024-09-03,65.0
2024-09-04,46.0
2024-09-16,228.0
2024-09-19,4020.0
2024-09-25,1.0
2024-10-09,4.0
2024-10-11,2.0
2024-10-21,1.0
2024-10-29,1.0
2024-11-12,30.0
2024-11-22,960.0
2025-01-09,300.0
2025-01-23,14.0
2025-01-28,4.0
2025-01-30,1.0
2025-01-31,4501.0
2025-02-05,123.0
2025-02-10,5.0
2025-02-12,50.0
2025-03-07,160.0
2025-03-12,100.0
2025-03-24,27.0
2025-03-25,8.0
2025-04-07,38.0
2025-04-09,2.0
2025-04-10,700.0
2025-04-11,2.0
2025-04-22,12.0
2025-04-25,11.0
2025-04-30,3210.0
2025-05-02,150.0
