Proj_Date,BOM_Quant
2023-09-10,936.0
2023-09-17,0.0
2023-09-24,1.0
2023-10-01,14.0
2023-10-08,0.0
2023-10-15,0.0
2023-10-22,30117.0
2023-10-29,235.0
2023-11-05,0.0
2023-11-12,8850.0
2023-11-19,0.0
2023-11-26,0.0
2023-12-03,1.0
2023-12-10,0.0
2023-12-17,0.0
2023-12-24,0.0
2023-12-31,0.0
2024-01-07,0.0
2024-01-14,0.0
2024-01-21,0.0
2024-01-28,1002.0
2024-02-04,0.0
2024-02-11,0.0
2024-02-18,88.0
2024-02-25,0.0
2024-03-03,91.0
2024-03-10,1600.0
2024-03-17,200.0
2024-03-24,3.0
2024-03-31,980.0
2024-04-07,0.0
2024-04-14,157.5
2024-04-21,18000.0
2024-04-28,497.92
2024-05-05,1000.0
2024-05-12,0.0
2024-05-19,849.0
2024-05-26,4.0
2024-06-02,0.0
2024-06-09,0.0
2024-06-16,25.0
2024-06-23,50.0
2024-06-30,2.0
2024-07-07,40077.0
2024-07-14,7.0
2024-07-21,2120.0
2024-07-28,309.0
2024-08-04,0.0
2024-08-11,30.0
2024-08-18,170.0
2024-08-25,8.5
2024-09-01,201.0
2024-09-08,8.0
2024-09-15,16.189999999999998
2024-09-22,13.0
2024-09-29,42.0
2024-10-06,0.0
2024-10-13,63.0
2024-10-20,0.0
2024-10-27,600.0
2024-11-03,0.0
2024-11-10,45.0
2024-11-17,1.0
2024-11-24,0.0
2024-12-01,0.0
2024-12-08,20.0
2024-12-15,20.0
2024-12-22,5.0
2024-12-29,0.0
2025-01-05,62.0
2025-01-12,0.0
2025-01-19,70.0
2025-01-26,2.0
2025-02-02,40.0
2025-02-09,1400.0
2025-02-16,19.0
2025-02-23,500.0
2025-03-02,450.0
2025-03-09,50.0
2025-03-16,21.6
2025-03-23,0.0
2025-03-30,8.0
2025-04-06,1.0
2025-04-13,2.0
2025-04-20,350.25
2025-04-27,1.0
2025-05-04,8246.0
