"Prod_Desc","Sub_Name","Cat_Name","ID_Proj","Proj_Name","BOM_Quant","Proj_City","Proj_State","Proj_Date"
"Gabião tipo caixa, malha hexagonal",Aços para Construção,Construção Civil,10414,Gabião - HEMOBRAS Engeko,34.0,Goiana,PE,"2023-09-05"
"Gabião manta (colchão), malha hexagonal",Aços para Construção,Construção Civil,10414,Gabião - HEMOBRAS Engeko,355.0,Goiana,PE,"2023-09-05"
Vergalhão de aço nervurado,Aços para Construção,Construção Civil,10415,Vergalhão - Prefeitura Municipal de Dois Córregos,136.0,Dois Córregos,SP,"2023-09-05"
CONCRETO USINADO CONVENCIONAL,Concreto,Infraestrutura,10416,CONCRETO USINADO - tejofran,104.0,São Paulo,SP,"2023-09-05"
CAIXA DE CONCRETO ARMADO,Artefatos de Concreto,Infraestrutura,10417,CAIXA DE CONCRETO - JAV,14.0,Lauro de Freitas,BA,"2023-09-05"
Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,Isolamento,Construção Civil,10418,Apoio de Neoprene para Pré-Moldados,10.64,Pelotas,RS,"2023-09-06"
Poste de Concreto 600 dan x 12 metros,Poste de Concreto,Infraestrutura,10419,Poste de concreto em Rio Verde - Go,1.0,Rio Verde,GO,"2023-09-06"
"bucha de redução de ferro galvanizado, com rosca bSP, de 6"" x 5""",Canos e Conexões Hidráulicas,Materiais Hidráulicos,10420,Bucha de Redução Galvanizada em Ceará,1.0,Fortaleza,CE,"2023-09-06"
"Aduela de concreto pré moldada 2,00 x 2,00",Aduela de Concreto,Infraestrutura,10421,Aduela de concreto em Lorena - SP,2.0,Lorena,SP,"2023-09-06"
"Aduela De Concreto Pré Moldada 2,50 X 2,50",Aduela de Concreto,Infraestrutura,10421,Aduela de concreto em Lorena - SP,2.0,Lorena,SP,"2023-09-06"
"Aduela De Concreto Pré Moldada 3,00 X 3,00",Aduela de Concreto,Infraestrutura,10421,Aduela de concreto em Lorena - SP,2.0,Lorena,SP,"2023-09-06"
Papelão Ondulado,Solventes e Removedores,Tintas e Acessórios,10423,Papelão Ondulado - Portinari - SJC,5400.0,São José dos Campos,SP,"2023-09-06"
BRAÇO CURVO PADRÃO LEVE - PARA ILUMINAÇÃO PÚBLICA,Infraestrutura,Materiais Elétricos,10424,COTAÇÃO Luminárias,21.0,São Paulo,SP,"2023-09-06"
LUMINÁRIA DE LED - PARA ILUMINAÇÃO PÚBLICA,Luminárias,Iluminação,10424,COTAÇÃO Luminárias,23.0,São Paulo,SP,"2023-09-06"
"TUBO / MANGUEIRA PRETA EM POLIETILENO, LINHA PESADA","Barras, Tubos e Chapas Metalon",Construção Civil,10425,MANGUEIRA PRETA EM POLIETILENO - LC FLEX,50.0,Salvador,BA,"2023-09-06"
COMPRESSOR ROTATIVO TOSHIBA 30.000 BTUS 220V,Equipamentos Elétricos,Climatização e Ventilação,10426,COMPRESSOR/CAPACITADOR/FREON - FACULDADE SANTA MARCELINA,2.0,São Paulo,SP,"2023-09-06"
"CAPACITOR DUPLO 60 + 2,5 MFD380 VAC",Equipamentos Elétricos,Climatização e Ventilação,10426,COMPRESSOR/CAPACITADOR/FREON - FACULDADE SANTA MARCELINA,2.0,São Paulo,SP,"2023-09-06"
"FREON R22 DAC13,62KG IBA3102 ONU1018C/SUB2.2",Gases refrigerantes,Climatização e Ventilação,10426,COMPRESSOR/CAPACITADOR/FREON - FACULDADE SANTA MARCELINA,1.0,São Paulo,SP,"2023-09-06"
Pedra Irregular,"Areia, Pedra Brita, Gesso, Cal e Argila",Construção Civil,10427,Pedras Irregulares - Prefeitura  Parobé,10.0,Parobé,RS,"2023-09-06"
 Emulsão Asfaltica Cationica RL-1,Usina de Asfalto,Pavimentação,10428,Emulsão Asfaltica Cationica - Jequie,300.0,Jequie,BA,"2023-09-06"
Prancha de Madeira,Chapas e Painéis,Madeiras,10429,Impacto Lagos Representacões,500.0,Parque Hotel Araruama,RJ,"2023-09-06"
Emulsão Asfáltica Catiônica RL-1C,Usina de Asfalto,Pavimentação,10430,Emulsão Asfáltica,300.0,Jequiezinho,BA,"2023-09-06"
Prancha de Madeira,Chapas e Painéis,Madeiras,10431,JM2 - Prancha de Madeira,500.0,Vila Valqueire,RJ,"2023-09-06"
Transformador Trifasico 112.5 kVA 220/127V 15kV a oleo,Transformadores de Energia,Materiais Elétricos,10433,Transformador Trifásico - Sousa,1.0,Várzea Grande,MT,"2023-09-06"
EPI,EPI: Equipamentos Proteção Individual,Segurança do Trabalho,10435,EPI´S - LIC,3.0,Aleixo,AM,"2023-09-06"
Luva EPI Borracha 20KV Classe 2,EPI: Equipamentos Proteção Individual,Segurança do Trabalho,10435,EPI´S - LIC,3.0,Aleixo,AM,"2023-09-06"
"Luva Vaqueta Cobertura 10,5 Tam G",EPI: Equipamentos Proteção Individual,Segurança do Trabalho,10435,EPI´S - LIC,3.0,Aleixo,AM,"2023-09-06"
Painel em gesso acartonado (drywall),Gesso e Drywall,Construção Civil,10436,Painel DryWall - IAMSPE,800.0,São Paulo,SP,"2023-09-06"
"CONDULETE ""LR"" PVC DE 1/2""",Condutos,Materiais Elétricos,10437,Conduletes em Abreu e Lima - PE,1.0,Abreu e Lima,PE,"2023-09-06"
"CONDULETE ""X"" PVC DE 1/2""",Condutos,Materiais Elétricos,10437,Conduletes em Abreu e Lima - PE,1.0,Abreu e Lima,PE,"2023-09-06"
Montmorilonita,"Areia, Pedra Brita, Gesso, Cal e Argila",Construção Civil,10438,Montmorilonita,1.0,Ribeirão das Neves,MG,"2023-09-11"
Cremalheira Cabina Simples - Aluguel,Elevador Cremalheira,Equipamentos ,10440,Cremalheira Cabine Simples,1.0,Mogi das Cruzes,SP,"2023-09-14"
"TRANSFORMADOR TRIFÁSICO 112,5 KVA",Transformadores de Energia,Materiais Elétricos,10441,"Transformador Trifásico 112,5 KVA para Juazeirinho - PB",1.0,Juazeirinho,PB,"2023-09-14"
"HASTE RETA PARA GANCHO DE FERRO GALVANIZADO, COM ROSCA 5/16"" X 45 CM PARA FIXACAO DE TELHA DE FIBROCIMENTO, INCLUI PORCA E ARRUELAS DE VEDACAO",Cimentos,Construção Civil,10444,Haste Reta em imbituba - SC,370.0,Imbituba,SC,"2023-09-18"
"tomada de 2p+t, abnt, 10A, para piso  com placa em metal amarelo","Tomadas, interruptores e plugues",Materiais Elétricos,10445,"Tomada de 2p+t, abnt, 10A, para piso em Aracaju",78.0,Aracaju,SE,"2023-09-18"
"BLOQUETE/PISO INTERTRAVADO DE CONCRETO - ONDA/16 FACES/UNISTEIN/PAVIS, 22 CM X 11 CM, E = 6 CM, RESISTENCIA DE 35 MPA (NBR 9781), COR NATURAL",Artefatos de Concreto,Infraestrutura,10458,Bloquete / piso intertravado em Belo Horizonte - MG,10.0,Belo Horizonte,MG,"2023-09-19"
Vergalhão de aço nervurado CA-50 8mm (5/16) 12m,Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
"Vergalhão de aço nervurado CA-50 12,5mm 12m",Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
Vergalhão de aço nervurado CA-50 16mm 12m,Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
Vergalhão de aço nervurado CA-50 20mm 12m,Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
"Vergalhão de Aço Nervurado CA60 5mm (1/2\"") Barra 12 Metros",Aços para Construção,Construção Civil,10459,Aços,1.0,Rio Grande,RS,"2023-09-19"
