Proj_Date,BOM_Quant
2023-09-10,20.64
2023-09-17,69.0
2023-09-24,7.0
2023-10-01,16.0
2023-10-08,69.0
2023-10-15,17.0
2023-10-22,69.0
2023-10-29,69.0
2023-11-05,69.0
2023-11-12,69.0
2023-11-19,69.0
2023-11-26,69.0
2023-12-03,69.0
2023-12-10,69.0
2023-12-17,69.0
2023-12-24,69.0
2023-12-31,69.0
2024-01-07,69.0
2024-01-14,69.0
2024-01-21,69.0
2024-01-28,69.0
2024-02-04,69.0
2024-02-11,1022.04
2024-02-18,69.0
2024-02-25,69.0
2024-03-03,175.0
2024-03-10,69.0
2024-03-17,69.0
2024-03-24,2.0
2024-03-31,120.0
2024-04-07,69.0
2024-04-14,69.0
2024-04-21,69.0
2024-04-28,6.0
2024-05-05,69.0
2024-05-12,12.0
2024-05-19,6.0
2024-05-26,4536.28
2024-06-02,69.0
2024-06-09,69.0
2024-06-16,32.0
2024-06-23,64.0
2024-06-30,69.0
2024-07-07,69.0
2024-07-14,210.0
2024-07-21,4.0
2024-07-28,47.0
2024-08-04,200.0
2024-08-11,4.0
2024-08-18,69.0
2024-08-25,69.0
2024-09-01,69.0
2024-09-08,69.0
2024-09-15,69.0
2024-09-22,69.0
2024-09-29,69.0
2024-10-06,69.0
2024-10-13,1.0
2024-10-20,1.0
2024-10-27,69.0
2024-11-03,12.0
2024-11-10,69.0
2024-11-17,17.0
2024-11-24,69.0
2024-12-01,350.0
2024-12-08,60.0
2024-12-15,2001.0
2024-12-22,113.69
2024-12-29,69.0
2025-01-05,69.0
2025-01-12,60.0
2025-01-19,69.0
2025-01-26,69.0
2025-02-02,105.5
2025-02-09,69.0
2025-02-16,16808.0
2025-02-23,7.0
2025-03-02,69.0
2025-03-09,122.0
2025-03-16,69.0
2025-03-23,50.0
2025-03-30,1009.0
2025-04-06,250.0
2025-04-13,1500.0
